Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
DOGE,2021-03-25,0.0524086592,0.0534588585,0.0567511923,0.0508429073
DOGE,2021-03-26,0.0517399755,0.0515914763,0.0524671679,0.0493870817
DOGE,2021-03-27,0.0536922506,0.0512469883,0.0539588658,0.0512335447
DOGE,2021-03-28,0.0547461382,0.0540462943,0.0554897514,0.053446905
DOGE,2021-03-29,0.053484146,0.0544107469,0.0549374495,0.0529762863
DOGE,2021-03-30,0.0540968173,0.0536534051,0.0547760986,0.0531903187
DOGE,2021-03-31,0.054213746,0.0541103016,0.0556671215,0.0536176723
DOGE,2021-04-01,0.0535549684,0.0540935487,0.0546406006,0.0516242868
DOGE,2021-04-02,0.0599140442,0.0537247306,0.0712055878,0.053626903
DOGE,2021-04-03,0.0574238167,0.0620565754,0.0628421681,0.0573229685
DOGE,2021-04-04,0.0563784774,0.0575957894,0.0594856886,0.0560073893
DOGE,2021-04-05,0.057309917,0.0555667878,0.0582439472,0.0551696942
DOGE,2021-04-06,0.0589234204,0.0574579844,0.0593147316,0.0562645421
DOGE,2021-04-07,0.0630599071,0.0599549147,0.0653250048,0.0580659673
DOGE,2021-04-08,0.0601873248,0.0644360516,0.0674773224,0.0571396904
DOGE,2021-04-09,0.0611705401,0.0588224037,0.0624079822,0.0586611523
DOGE,2021-04-10,0.0616745563,0.0617611871,0.064287791,0.0604773586
DOGE,2021-04-11,0.0635717714,0.0616170695,0.0651114074,0.0609425277
DOGE,2021-04-12,0.0756353606,0.0637613937,0.0800344807,0.0633248084
DOGE,2021-04-13,0.0715775832,0.0743739033,0.0754303584,0.0686909801
DOGE,2021-04-14,0.0924414626,0.0707960231,0.0945170983,0.0706332349
DOGE,2021-04-15,0.1275778771,0.0944300679,0.1453077308,0.0921680662
DOGE,2021-04-16,0.1721661479,0.1213803673,0.1918410211,0.119870139
DOGE,2021-04-17,0.3795198355,0.1825578624,0.4504864955,0.1793083416
DOGE,2021-04-18,0.3056824558,0.3661458141,0.3814350384,0.2316461761
DOGE,2021-04-19,0.3318115983,0.2830447075,0.3515335856,0.2423578071
DOGE,2021-04-20,0.416551143,0.3234615407,0.4284610126,0.3094471019
DOGE,2021-04-21,0.3353962068,0.409620872,0.4240822561,0.2709820723
DOGE,2021-04-22,0.3079602783,0.3177229257,0.3479294314,0.2965318528
DOGE,2021-04-23,0.2683380608,0.3061761778,0.3092297685,0.2533026978
DOGE,2021-04-24,0.2391444357,0.2608255356,0.2694052621,0.1608116986
DOGE,2021-04-25,0.2714234993,0.2502502263,0.2911596938,0.2309292547
DOGE,2021-04-26,0.2479777158,0.270787752,0.2884257345,0.226516875
DOGE,2021-04-27,0.2663730697,0.2520194322,0.2808529952,0.2476982097
DOGE,2021-04-28,0.2719959145,0.2718173736,0.2803146659,0.2648406439
DOGE,2021-04-29,0.3163290205,0.2726708395,0.3462542438,0.2563125132
DOGE,2021-04-30,0.3077020849,0.3234480721,0.3247968952,0.2961993453
DOGE,2021-05-01,0.3351472656,0.3051134847,0.340012902,0.3025994643
DOGE,2021-05-02,0.3851596652,0.337656106,0.3926873505,0.3282974568
DOGE,2021-05-03,0.3784028647,0.3911239327,0.4001204117,0.3625018187
DOGE,2021-05-04,0.4364162999,0.3746158191,0.4478349794,0.3743830083
DOGE,2021-05-05,0.5425109667,0.4417594899,0.61113518,0.4043269761
DOGE,2021-05-06,0.6416045016,0.5393155908,0.696495456,0.5210108059
DOGE,2021-05-07,0.586173406,0.6539020933,0.66479447,0.5412518183
DOGE,2021-05-08,0.7223204769,0.5814790756,0.73407397,0.5180432021
DOGE,2021-05-09,0.6436801234,0.6911740007,0.7400103296,0.6019518324
DOGE,2021-05-10,0.585158958,0.6382536542,0.7018368816,0.4186942298
DOGE,2021-05-11,0.456113233,0.5714521813,0.5722505203,0.4204495716
DOGE,2021-05-12,0.5024757846,0.4511661129,0.5487958591,0.4439690247
DOGE,2021-05-13,0.4519935089,0.4943966041,0.5215903795,0.4326168811
DOGE,2021-05-14,0.4300419337,0.3918606792,0.4563288244,0.3552791968
DOGE,2021-05-15,0.5550034809,0.4895582417,0.5912714024,0.4651788546
DOGE,2021-05-16,0.5109660608,0.5606873192,0.5646933887,0.4916051286
DOGE,2021-05-17,0.4924255373,0.5089457071,0.5490971896,0.4497456805
DOGE,2021-05-18,0.4822827545,0.5139744267,0.5162634829,0.4562491625
DOGE,2021-05-19,0.4805031368,0.4877243443,0.508853277,0.469999313
DOGE,2021-05-20,0.3681395042,0.4765880792,0.4801362602,0.2391107703
DOGE,2021-05-21,0.3960534219,0.3308579727,0.436621732,0.3035892145
DOGE,2021-05-22,0.3574657668,0.3990012842,0.4125680574,0.3147867835
DOGE,2021-05-23,0.3435665149,0.3587120448,0.3638975863,0.3177552916
DOGE,2021-05-24,0.3091838217,0.3425808384,0.3506859332,0.2489122289
DOGE,2021-05-25,0.3490122229,0.3067020539,0.3749937013,0.2961141858
DOGE,2021-05-26,0.3486084997,0.3666897554,0.3807046012,0.3229722479
DOGE,2021-05-27,0.3472869293,0.3464704754,0.367165044,0.3375475808
DOGE,2021-05-28,0.33306692,0.3534354502,0.3536126376,0.3278089086
DOGE,2021-05-29,0.3047765834,0.3343541225,0.347885083,0.303277964
DOGE,2021-05-30,0.2985486152,0.3115547003,0.3181527397,0.2804325527
DOGE,2021-05-31,0.3036249146,0.3031871697,0.3110866832,0.2873031604
DOGE,2021-06-01,0.3245741197,0.302112466,0.3299297593,0.2944217654
DOGE,2021-06-02,0.3706638416,0.3256697634,0.3777065007,0.3116019028
DOGE,2021-06-03,0.4176002045,0.3699944966,0.4461242022,0.3512368692
DOGE,2021-06-04,0.4032129346,0.4233896179,0.4413741533,0.3801204007
DOGE,2021-06-05,0.3835275959,0.400909553,0.4021997891,0.3502494814
DOGE,2021-06-06,0.3667692215,0.3767759392,0.3952781912,0.3603141953
DOGE,2021-06-07,0.3686250711,0.3717705121,0.3773462858,0.3670125185
DOGE,2021-06-08,0.3400576346,0.371642975,0.3801577797,0.3303939979
DOGE,2021-06-09,0.3308023356,0.3317843679,0.342091522,0.2956837885
DOGE,2021-06-10,0.3444003494,0.3263100588,0.3547653894,0.3127221315
DOGE,2021-06-11,0.327612065,0.3433863909,0.3452226728,0.3228380477
DOGE,2021-06-12,0.3199142743,0.3262325987,0.3336331555,0.3111607354
DOGE,2021-06-13,0.3129034242,0.3187656189,0.3187800453,0.3012582352
DOGE,2021-06-14,0.3234484927,0.3123621316,0.3295003527,0.3077282163
DOGE,2021-06-15,0.3256762549,0.3239395072,0.3376997479,0.3201407528
DOGE,2021-06-16,0.3219173838,0.3277389494,0.3306870816,0.3165875291
DOGE,2021-06-17,0.3096635844,0.3203303351,0.3214832163,0.3052644542
DOGE,2021-06-18,0.3042037865,0.3077863041,0.3141868446,0.3025003698
DOGE,2021-06-19,0.2927498052,0.3062668688,0.3077276992,0.2799528284
DOGE,2021-06-20,0.2880697542,0.2935468014,0.2979224198,0.2863547587
DOGE,2021-06-21,0.2804987976,0.2859123643,0.2897842094,0.2557122488
DOGE,2021-06-22,0.1825667836,0.2805589459,0.2812992734,0.1815898732
DOGE,2021-06-23,0.1890369848,0.1787090393,0.2168291562,0.165967914
DOGE,2021-06-24,0.235911234,0.1908766438,0.2485586368,0.180684391
DOGE,2021-06-25,0.2624699903,0.2348439683,0.2692112447,0.2221722593
DOGE,2021-06-26,0.2368126604,0.2637576137,0.2880082314,0.2289806827
DOGE,2021-06-27,0.2414281431,0.2375927508,0.255353777,0.23091226
DOGE,2021-06-28,0.2522313352,0.2457681458,0.254175286,0.2405067647
DOGE,2021-06-29,0.2569382015,0.2646075148,0.2671035326,0.250573058
DOGE,2021-06-30,0.2638638384,0.2570750241,0.2756499091,0.252584736
DOGE,2021-07-01,0.2518183412,0.2634532022,0.2638305195,0.2378735969
DOGE,2021-07-02,0.2468558468,0.2539016907,0.260639328,0.2382307414
DOGE,2021-07-03,0.2434356952,0.2438542813,0.2487394285,0.2385775993
DOGE,2021-07-04,0.2443779394,0.2450303581,0.2502860491,0.242304964
DOGE,2021-07-05,0.2488810016,0.2462740086,0.2528086804,0.2432854174
DOGE,2021-07-06,0.2348335621,0.2463239062,0.24632424,0.2270479214
DOGE,2021-07-07,0.2330753057,0.2310819385,0.2415934911,0.2293764191
DOGE,2021-07-08,0.2298624796,0.2340542852,0.2384554034,0.2285268055
DOGE,2021-07-09,0.2035626439,0.2238823556,0.2247398765,0.2026079262
DOGE,2021-07-10,0.2200627762,0.2069107032,0.229504551,0.1954188107
DOGE,2021-07-11,0.2130900878,0.2196217364,0.2276881321,0.2097374432
DOGE,2021-07-12,0.2168470511,0.2136860022,0.2189505919,0.2106232649
DOGE,2021-07-13,0.2083427389,0.2158443041,0.2183777654,0.2041229148
DOGE,2021-07-14,0.1991941941,0.2075838211,0.2086772797,0.1974799537
DOGE,2021-07-15,0.199145889,0.1998324796,0.2046783783,0.1874612937
DOGE,2021-07-16,0.1863583277,0.1976216373,0.2007447119,0.1809808992
DOGE,2021-07-17,0.1740197329,0.1851843091,0.1882448162,0.1739269114
DOGE,2021-07-18,0.1872662967,0.172020581,0.2073171458,0.1690182649
DOGE,2021-07-19,0.1820760736,0.1874375554,0.1959222515,0.1810164889
DOGE,2021-07-20,0.1754954408,0.1815718594,0.1841606366,0.1705327225
DOGE,2021-07-21,0.1693230462,0.1736369746,0.1805595168,0.1600124422
DOGE,2021-07-22,0.1905503744,0.1705444313,0.2144423909,0.1684986718
DOGE,2021-07-23,0.1902715408,0.1904886713,0.1964122744,0.1867119515
DOGE,2021-07-24,0.1920745858,0.1913050936,0.1997859225,0.1831923004
DOGE,2021-07-25,0.1952920185,0.1949683177,0.2027534735,0.1912426391
DOGE,2021-07-26,0.19532706,0.1970775586,0.2008353411,0.1916556923
DOGE,2021-07-27,0.2046017553,0.1980173142,0.2330268186,0.1969246487
DOGE,2021-07-28,0.2050130915,0.2037307724,0.2095100396,0.1952043273
DOGE,2021-07-29,0.2055888603,0.2059539985,0.2138474545,0.2019237942
DOGE,2021-07-30,0.2034005901,0.2057677629,0.2062043216,0.2004875679
DOGE,2021-07-31,0.2068244671,0.2050531056,0.2105984881,0.1960199899
DOGE,2021-08-01,0.2092142898,0.2085923859,0.2143498734,0.204718708
DOGE,2021-08-02,0.2075327005,0.2076571258,0.2177374574,0.2061243373
DOGE,2021-08-03,0.2044655386,0.2043927495,0.2099823499,0.2018661162
DOGE,2021-08-04,0.1969650437,0.2033594701,0.2050573073,0.193593981
DOGE,2021-08-05,0.2017022941,0.196290266,0.2031138526,0.1947435994
DOGE,2021-08-06,0.2007788789,0.2015429037,0.2021555342,0.1947992597
DOGE,2021-08-07,0.2053995931,0.2009277998,0.2119125903,0.1986234378
DOGE,2021-08-08,0.249939308,0.2047129169,0.2499578161,0.2035591869
DOGE,2021-08-09,0.2429835306,0.2619249992,0.283341367,0.2349642166
DOGE,2021-08-10,0.2548897256,0.2399261773,0.266459949,0.2318239474
DOGE,2021-08-11,0.2583421412,0.2561186979,0.2630898817,0.2459415677
DOGE,2021-08-12,0.2652150775,0.2573462988,0.2826798777,0.2564690011
DOGE,2021-08-13,0.2574045556,0.2646142316,0.2947187085,0.2518497363
DOGE,2021-08-14,0.2823046742,0.264132852,0.2846657727,0.2617462737
DOGE,2021-08-15,0.2900117145,0.2866782374,0.2979828976,0.2760849885
DOGE,2021-08-16,0.3373554406,0.2939897729,0.3496008802,0.2885042634
DOGE,2021-08-17,0.3243468588,0.3401021165,0.3517200842,0.3104196931
DOGE,2021-08-18,0.3039538684,0.3197039662,0.3396679269,0.2948473903
DOGE,2021-08-19,0.3059453552,0.2993869243,0.3251601064,0.2816192856
DOGE,2021-08-20,0.3124284141,0.3034067851,0.3188196901,0.293900919
DOGE,2021-08-21,0.3239548369,0.3176101439,0.3328319538,0.3136357973
DOGE,2021-08-22,0.3192787181,0.3273174232,0.3299512699,0.3148858257
DOGE,2021-08-23,0.3123262738,0.3169183146,0.3218698398,0.3054178638
DOGE,2021-08-24,0.3188145909,0.3148559342,0.3280547987,0.3130719616
DOGE,2021-08-25,0.2958093333,0.3179396598,0.3196105277,0.2764768852
DOGE,2021-08-26,0.2902268627,0.2888628477,0.2970017168,0.2798444479
DOGE,2021-08-27,0.27418384,0.2926533579,0.2958103486,0.2643580472
DOGE,2021-08-28,0.2930179584,0.268547309,0.2939254713,0.2653197229
DOGE,2021-08-29,0.2844297909,0.2946451649,0.2995448648,0.2831486561
DOGE,2021-08-30,0.2832408509,0.286085208,0.2918886835,0.2767123646
DOGE,2021-08-31,0.2750102075,0.2811423862,0.2903840945,0.2715281015
DOGE,2021-09-01,0.2749483497,0.272081321,0.2860202344,0.2699450468
DOGE,2021-09-02,0.289733286,0.2782653078,0.2939410431,0.273047056
DOGE,2021-09-03,0.2995595552,0.2944657036,0.3094890085,0.2919044527
DOGE,2021-09-04,0.2923487827,0.2948004853,0.3047416659,0.2873813831
DOGE,2021-09-05,0.2996362285,0.2962365621,0.3088516822,0.2933462731
DOGE,2021-09-06,0.3115471773,0.2993207171,0.3143200042,0.2965072578
DOGE,2021-09-07,0.3100762291,0.3144496178,0.3199617811,0.3002682618
DOGE,2021-09-08,0.2545519556,0.309155907,0.3113540925,0.2148190684
DOGE,2021-09-09,0.2571223894,0.2553487045,0.2634913516,0.2338282367
DOGE,2021-09-10,0.2523964134,0.256834909,0.2597065076,0.249117796
DOGE,2021-09-11,0.2396419492,0.2526802628,0.2619669079,0.2365585019
DOGE,2021-09-12,0.2410734179,0.2398515237,0.2480141756,0.2379640243
DOGE,2021-09-13,0.2527902815,0.2411749222,0.2544040563,0.2389949427
DOGE,2021-09-14,0.2366258786,0.2502702554,0.2522450153,0.2284036875
DOGE,2021-09-15,0.239787886,0.2359150293,0.2417812774,0.2339946335
DOGE,2021-09-16,0.2475705084,0.2407223669,0.248075646,0.2390423301
DOGE,2021-09-17,0.2392306336,0.247702502,0.2479065419,0.2344813281
DOGE,2021-09-18,0.2404288159,0.2420114194,0.2596660976,0.2376450534
DOGE,2021-09-19,0.2407006701,0.239931038,0.2474624359,0.2381315137
DOGE,2021-09-20,0.2321780149,0.2413773855,0.2414872794,0.2314714221
DOGE,2021-09-21,0.2141450289,0.2330887681,0.2334702738,0.1991451222
DOGE,2021-09-22,0.202688201,0.2085653796,0.2180987268,0.1978948173
DOGE,2021-09-23,0.2242397935,0.200942814,0.2291593975,0.2003367971
DOGE,2021-09-24,0.2227779468,0.2245618201,0.2274375912,0.2181843726
DOGE,2021-09-25,0.2100523203,0.2247700059,0.2276790912,0.1968663161
DOGE,2021-09-26,0.2092765005,0.2093021115,0.212749565,0.2046555734
DOGE,2021-09-27,0.2071637552,0.2085101718,0.2091084819,0.1945165072
DOGE,2021-09-28,0.2033797934,0.2051151656,0.2094115123,0.2004491638
DOGE,2021-09-29,0.1988671803,0.1998418059,0.2026420451,0.1966513121
DOGE,2021-09-30,0.197171447,0.1966482062,0.2042730137,0.1948445947
DOGE,2021-10-01,0.2042294807,0.1986792884,0.2058430247,0.197613331
DOGE,2021-10-02,0.218527849,0.204242871,0.2244562147,0.2019160958
DOGE,2021-10-03,0.2222419649,0.2226635879,0.2248105579,0.2152493726
DOGE,2021-10-04,0.2205332499,0.2185313993,0.225947256,0.2157862978
DOGE,2021-10-05,0.2378482677,0.221793749,0.2466619624,0.2125780585
DOGE,2021-10-06,0.2513683485,0.2414862384,0.2679295035,0.2328360133
DOGE,2021-10-07,0.251253323,0.2517285706,0.2719108018,0.2425429487
DOGE,2021-10-08,0.241949037,0.2540366479,0.2566891726,0.235871848
DOGE,2021-10-09,0.2454591066,0.2427546848,0.2546841968,0.2414274037
DOGE,2021-10-10,0.2470578792,0.2439038816,0.2509446265,0.2410748926
DOGE,2021-10-11,0.2298097297,0.2466105314,0.2482365665,0.2263380846
DOGE,2021-10-12,0.2311001315,0.228792511,0.2394357176,0.2250101289
DOGE,2021-10-13,0.2260366792,0.2312533668,0.2316881424,0.2163902991
DOGE,2021-10-14,0.2332460515,0.2261244914,0.2341125733,0.220509648
DOGE,2021-10-15,0.2330831466,0.2326192591,0.2398701724,0.231196183
DOGE,2021-10-16,0.2350777324,0.2325202553,0.2433652073,0.2241946022
DOGE,2021-10-17,0.2367910475,0.2339475985,0.2454330601,0.2336321549
DOGE,2021-10-18,0.2401506227,0.2370606324,0.2417772615,0.2255019608
DOGE,2021-10-19,0.2460375333,0.2377025491,0.2725636774,0.2374613435
